Date,Time,Temperature,Humidity,Soil,WaterLevel,Watering
2019-05-01,13:23:52,24,22,84,0,0
2019-05-01,13:28:52,24.2,21,84,0,0
2019-05-01,13:33:52,24.4,21,84,0,0
2019-05-01,13:38:52,24.7,21,84,0,0
2019-05-01,13:43:52,24.9,20,84,0,0
2019-05-01,13:48:52,25.1,20,84,0,0
2019-05-01,13:53:52,25.3,20,84,0,0
2019-05-01,13:58:52,25.5,19,83,0,0
2019-05-01,14:03:52,25.6,18,82,0,0
2019-05-01,14:08:52,25.9,18,82,0,0
2019-05-01,14:13:52,26.1,18,82,0,0
2019-05-01,14:18:52,26.3,18,80,0,0
2019-05-01,14:23:52,26.5,17,81,0,0
2019-05-01,14:28:52,26.8,17,81,0,0
2019-05-01,14:33:52,26.9,16,81,0,0
2019-05-01,14:38:52,27.1,16,80,0,0
2019-05-01,14:43:52,27.2,15,80,0,0
2019-05-01,14:48:52,27.4,14,81,0,0
2019-05-01,14:53:52,27.6,14,81,0,0
2019-05-01,14:58:52,27.7,14,81,0,0
2019-05-01,15:03:52,27.9,14,81,0,0
2019-05-01,15:08:52,28,15,80,0,0
2019-05-01,15:13:52,28.1,15,80,0,0
2019-05-01,15:18:52,28.4,15,80,0,0
2019-05-01,15:23:52,28.6,14,79,0,0
2019-05-01,15:28:52,28.7,14,80,0,0
2019-05-01,15:33:52,28.7,13,79,0,0
2019-05-01,15:38:52,28.7,13,80,0,0
2019-05-01,15:43:52,28.9,13,80,0,0
2019-05-01,15:48:52,29.1,13,80,0,0
2019-05-01,15:53:52,29.1,14,80,0,0
2019-05-01,15:58:52,29.1,13,80,0,0
2019-05-01,16:03:52,29,13,81,0,0
2019-05-01,16:08:52,29,13,79,0,0
2019-05-01,16:13:52,28.9,12,79,0,0
2019-05-01,16:18:52,28.7,12,79,0,0
2019-05-01,16:23:52,28.7,12,78,0,0
2019-05-01,16:28:52,28.6,12,78,0,0
2019-05-01,16:33:52,28.7,12,79,0,0
2019-05-01,16:38:52,28.6,12,78,0,0
2019-05-01,16:43:52,28.6,12,79,0,0
2019-05-01,16:48:52,28.5,12,78,0,0
2019-05-01,16:53:52,28.4,12,78,0,0
2019-05-01,16:58:52,28.4,13,78,0,0
2019-05-01,17:03:52,28.4,13,78,0,0
2019-05-01,17:08:52,28.1,12,78,0,0
2019-05-01,17:13:52,28.1,13,78,0,0
2019-05-01,17:18:52,27.9,12,78,0,0
2019-05-01,17:23:52,27.7,12,78,0,0
2019-05-01,17:28:52,27.5,12,78,0,0
2019-05-01,17:33:52,27.4,13,79,0,0
2019-05-01,17:38:52,27.1,13,79,0,0
2019-05-01,17:43:52,26.9,13,79,0,0
2019-05-01,17:48:52,26.5,13,79,0,0
2019-05-01,17:53:52,26.1,14,79,0,0
2019-05-01,17:58:52,25.9,14,79,0,0
2019-05-01,18:03:52,25.7,15,79,0,0
2019-05-01,18:08:52,25.4,16,79,0,0
2019-05-01,18:13:52,24.9,15,79,0,0
2019-05-01,18:18:52,24.6,16,79,0,0
2019-05-01,18:23:52,24.5,19,79,0,0
2019-05-01,18:28:52,24.3,18,79,0,0
2019-05-01,18:33:52,23.9,18,79,2,0
2019-05-01,18:38:52,23.8,18,79,0,0
2019-05-01,18:43:52,23.5,19,79,0,0
2019-05-01,18:48:52,23.3,21,79,0,0
2019-05-01,18:53:52,23.2,21,79,0,0
2019-05-01,18:58:52,23,21,79,0,0
2019-05-01,19:03:52,22.8,21,79,0,0
2019-05-01,19:08:52,22.3,20,78,0,0
2019-05-01,19:13:52,22.1,21,78,0,0
2019-05-01,19:18:52,21.7,20,78,1,0
2019-05-01,19:23:52,21.5,22,78,0,0
2019-05-01,19:28:52,21.6,23,78,0,0
2019-05-01,19:33:52,21.5,24,78,0,0
2019-05-01,19:38:52,21.2,23,78,0,0
2019-05-01,19:43:52,21.1,24,78,1,0
2019-05-01,19:48:52,21.1,25,78,0,0
2019-05-01,19:53:52,21,26,78,2,0
2019-05-01,19:58:52,20.9,25,78,0,0
2019-05-01,20:03:52,20.8,25,78,0,0
2019-05-01,20:08:52,20.7,26,78,0,0
2019-05-01,20:13:52,20.6,26,78,0,0
2019-05-01,20:18:52,20.4,27,78,1,0
2019-05-01,20:23:52,20.3,27,78,0,0
2019-05-01,20:28:52,20,27,78,0,0
2019-05-01,20:33:52,19.9,27,78,1,0
2019-05-01,20:38:51,19.8,28,78,0,0
2019-05-01,20:43:51,19.6,29,77,0,0
2019-05-01,20:48:51,19.5,29,77,0,0
2019-05-01,20:53:51,19.4,30,77,0,0
2019-05-01,20:58:51,19.2,30,77,0,0
2019-05-01,21:03:51,19,31,77,0,0
2019-05-01,21:08:51,18.9,31,77,0,0
2019-05-01,21:13:51,18.7,31,77,4,0
2019-05-01,21:18:51,18.6,32,77,0,0
2019-05-01,21:23:51,18.4,32,76,2,0
2019-05-01,21:28:51,18.3,33,76,2,0
2019-05-01,21:33:51,18.1,33,76,0,0
2019-05-01,21:38:51,18,33,76,2,0
2019-05-01,21:43:51,17.9,33,76,0,0
2019-05-01,21:48:51,17.9,33,76,0,0
2019-05-01,21:53:51,17.7,33,76,0,0
2019-05-01,21:58:51,17.6,33,76,0,0
2019-05-01,22:03:51,17.6,33,76,0,0
2019-05-01,22:08:51,17.4,33,76,2,0
2019-05-01,22:13:51,17.3,34,76,0,0
2019-05-01,22:18:51,17.2,34,76,0,0
2019-05-01,22:23:51,17.1,34,76,2,0
2019-05-01,22:28:51,17,35,75,0,0
2019-05-01,22:33:51,16.9,35,75,0,0
2019-05-01,22:38:51,16.7,36,75,0,0
2019-05-01,22:43:51,16.6,36,75,1,0
2019-05-01,22:48:51,16.6,36,75,0,0
2019-05-01,22:53:51,16.5,36,75,0,0
2019-05-01,22:58:51,16.5,36,75,2,0
2019-05-01,23:03:51,16.4,36,75,2,0
2019-05-01,23:08:51,16.3,36,75,0,0
2019-05-01,23:13:51,16.2,36,75,0,0
2019-05-01,23:18:51,16.1,37,75,0,0
2019-05-01,23:23:51,16,38,75,0,0
2019-05-01,23:28:51,15.9,37,75,0,0
2019-05-01,23:33:51,15.7,37,75,0,0
2019-05-01,23:38:50,15.6,37,75,0,0
2019-05-01,23:43:50,15.4,37,75,0,0
2019-05-01,23:48:50,15.4,38,75,0,0
2019-05-01,23:53:50,15.2,38,75,0,0
2019-05-01,23:58:50,15.1,38,75,0,0
2019-05-02,0:03:50,14.9,38,75,0,0
2019-05-02,0:08:50,14.9,39,75,0,0
2019-05-02,0:13:50,14.8,39,74,0,0
2019-05-02,0:18:50,14.7,40,74,0,0
2019-05-02,0:23:50,14.6,40,74,0,0
2019-05-02,0:28:50,14.5,40,74,0,0
2019-05-02,0:33:50,14.4,41,74,0,0
2019-05-02,0:38:50,14.3,41,74,0,0
2019-05-02,0:43:50,14.2,41,74,2,0
2019-05-02,0:48:50,14,41,74,0,0
2019-05-02,0:53:50,13.9,41,74,0,0
2019-05-02,0:58:50,13.9,42,74,0,0
2019-05-02,1:03:50,13.8,42,74,0,0
2019-05-02,1:08:50,13.7,42,74,0,0
2019-05-02,1:13:50,13.6,43,74,0,0
2019-05-02,1:18:50,13.5,43,74,0,0
2019-05-02,1:23:50,13.4,43,74,1,0
2019-05-02,1:28:50,13.3,44,74,0,0
2019-05-02,1:33:50,13.2,44,74,0,0
2019-05-02,1:38:50,13.1,44,74,0,0
2019-05-02,1:43:50,13,45,74,0,0
2019-05-02,1:48:50,12.9,44,74,0,0
2019-05-02,1:53:50,13,45,74,0,0
2019-05-02,1:58:49,12.9,45,74,0,0
2019-05-02,2:03:49,12.9,45,74,0,0
2019-05-02,2:08:49,12.8,45,74,0,0
2019-05-02,2:13:49,12.7,45,74,0,0
2019-05-02,2:18:49,12.7,46,74,0,0
2019-05-02,2:23:49,12.6,46,74,0,0
2019-05-02,2:28:49,12.6,46,73,0,0
2019-05-02,2:33:49,12.6,46,73,0,0
2019-05-02,2:38:49,12.5,46,73,0,0
2019-05-02,2:43:49,12.4,47,73,1,0
2019-05-02,2:48:49,12.4,47,73,0,0
2019-05-02,2:53:49,12.4,47,73,0,0
2019-05-02,2:58:49,12.3,47,73,0,0
2019-05-02,3:03:49,12.3,48,73,0,0
2019-05-02,3:08:49,12.2,48,73,0,0
2019-05-02,3:13:49,12.2,48,73,0,0
2019-05-02,3:18:49,12.2,48,72,0,0
2019-05-02,3:23:49,12.1,48,72,0,0
2019-05-02,3:28:49,12.1,48,72,0,0
2019-05-02,3:33:49,12.1,48,72,0,0
2019-05-02,3:38:49,12.1,48,72,0,0
2019-05-02,3:43:49,12.1,49,72,0,0
2019-05-02,3:48:49,12,49,72,0,0
2019-05-02,3:53:49,12,49,72,0,0
2019-05-02,3:58:49,12,49,72,0,0
2019-05-02,4:03:48,11.9,48,72,0,0
2019-05-02,4:08:48,11.9,48,72,0,0
2019-05-02,4:13:48,11.9,48,72,0,0
2019-05-02,4:18:48,11.9,49,72,1,0
2019-05-02,4:23:48,11.9,49,72,0,0
2019-05-02,4:28:48,11.9,49,72,0,0
2019-05-02,4:33:48,11.9,49,72,0,0
2019-05-02,4:38:48,11.9,49,72,3,0
2019-05-02,4:43:48,11.9,49,72,1,0
2019-05-02,4:48:48,11.9,49,72,0,0
2019-05-02,4:53:48,11.9,49,72,1,0
2019-05-02,4:58:48,11.9,49,72,0,0
2019-05-02,5:03:48,11.9,49,72,1,0
2019-05-02,5:08:48,11.9,49,72,3,0
2019-05-02,5:13:48,11.9,49,72,3,0
2019-05-02,5:18:48,11.8,49,72,3,0
2019-05-02,5:23:48,11.8,49,72,0,0
2019-05-02,5:28:48,11.8,50,71,0,0
2019-05-02,5:33:48,11.9,50,71,0,0
2019-05-02,5:38:48,11.8,50,71,0,0
2019-05-02,5:43:48,11.8,49,71,0,0
2019-05-02,5:48:48,11.8,50,71,0,0
2019-05-02,5:53:48,11.8,50,71,0,0
2019-05-02,5:58:48,11.8,50,71,0,0
2019-05-02,6:03:47,11.7,50,71,0,0
2019-05-02,6:08:47,11.8,50,71,0,0
2019-05-02,6:13:47,11.8,50,71,0,0
2019-05-02,6:18:47,11.8,50,71,0,0
2019-05-02,6:23:47,11.8,50,71,0,0
2019-05-02,6:28:47,11.9,50,71,0,0
2019-05-02,6:33:47,11.9,49,71,1,0
2019-05-02,6:38:47,11.9,49,71,0,0
2019-05-02,6:43:47,11.9,49,71,0,0
2019-05-02,6:48:47,11.9,49,71,0,0
2019-05-02,6:53:47,11.9,49,71,0,0
2019-05-02,6:58:47,11.9,49,71,0,0
2019-05-02,7:03:47,11.9,49,71,0,0
2019-05-02,7:08:47,12,50,71,0,0
2019-05-02,7:13:47,12,50,71,0,0
2019-05-02,7:18:47,12.1,50,71,0,0
2019-05-02,7:23:47,12.4,49,70,0,0
2019-05-02,7:28:47,12.7,47,70,0,0
